micrograph_number,defocus (Angstroms),thickness (Angstroms),mean refined_scaled_mip,median refined_scaled_mip,LSU counts,SSU match counts,SSU constrained counts
213,8846.989258,1619.773438,12.674395,13.005347,194,41,164
214,4838.096191,3744.641357,6.625463,6.597131,17,9,3
215,6559.195312,2359.418457,9.782471,9.850066,48,1,28
216,6052.630127,2386.844482,9.290107,9.290574,201,2,112
217,5438.274170,2381.090088,9.969988,9.941683,305,1,194
218,5968.876221,1774.878906,11.626661,11.692029,248,25,203
219,5135.197754,2150.886230,11.042159,11.361144,244,11,189
220,3586.620850,3994.772705,10.959666,10.814072,8,247,1
221,4859.200195,1164.169556,12.856223,13.163732,135,36,108
222,7485.250732,1071.802612,13.320641,13.733776,205,64,180
223,9908.168457,2330.623291,11.480180,11.256384,78,4,52
224,8857.495117,1259.480591,13.278343,13.783556,184,63,157
225,6981.141358,2060.577393,10.967635,11.006909,401,12,289
226,6938.392578,2212.944580,10.211734,10.301974,80,2,39
227,7147.361328,2446.773438,9.939091,9.905382,240,1,148
228,7455.022949,2413.331299,9.954151,10.011986,405,1,258
229,6980.294434,2235.872803,10.612916,10.657819,425,12,306
230,7488.995606,2020.585938,10.880037,11.085869,135,6,91
231,7813.686767,1886.093750,11.742679,11.920375,272,21,213
232,7643.913819,1709.842651,12.596927,12.841909,226,29,193
233,7825.717042,1112.256470,13.216997,13.792929,221,58,182
234,7885.662353,1491.009521,12.259519,12.563864,104,21,83
235,5904.024903,1046.116699,10.901282,10.626957,142,12,116
236,7499.099121,1928.732544,11.515739,11.623720,247,11,206
237,7506.118897,2398.448242,9.428904,9.560826,139,1,86
238,7397.347168,2195.038330,10.437657,10.504112,325,5,229
239,7733.265625,2450.208008,9.611801,9.577938,159,0,
240,7573.095215,2359.932617,10.087240,10.196393,128,3,89
241,7414.247070,1987.297852,10.587311,10.778589,332,10,215
242,7640.192139,1965.965454,10.745567,10.706966,203,13,154
243,7571.915527,1823.394653,10.881920,10.957235,188,6,137
244,8409.675293,2345.372803,10.272272,10.332891,327,5,219
245,8125.004150,2085.257568,7.954471,7.968007,3,1,
246,7414.252685,1871.002075,11.050610,11.166064,339,9,273
247,7203.057861,1486.755127,10.609209,10.364304,191,8,137
248,7766.796142,1845.927612,11.051701,11.175980,179,6,135
250,7604.114746,1419.997070,11.825428,11.790468,146,28,111
251,6476.469726,1072.813965,12.824965,13.116988,194,40,145
252,5886.152588,632.247803,12.665326,12.648010,200,66,144
253,6950.837647,2121.095703,8.843903,8.801137,37,1,17
255,685.104194,3905.106201,8.248175,8.248175,1,1,
258,6081.253662,2516.296631,9.649165,9.649780,305,2,180
259,6886.938965,2332.380371,9.995323,10.048227,249,5,142
260,7632.133301,2311.515137,9.408288,9.390561,67,1,38
261,5987.688721,2191.683350,9.374929,9.302653,132,2,71
262,7101.972412,2337.127441,9.675381,9.654595,99,1,59
263,5558.223389,1087.647827,11.140022,11.040504,189,15,157
264,10046.643067,3404.378906,7.930450,7.930450,1,1,
265,5521.486572,4477.012207,8.101400,8.101400,1,0,
268,5887.492920,3573.335205,8.943835,8.980324,29,1,11
269,7196.020019,3538.368896,8.730649,8.667797,62,2,30
270,4124.179321,4286.822266,8.083293,8.083293,2,3,
271,4253.160400,1850.484985,8.984226,8.471502,3,1,
272,7323.758301,1369.904297,12.432106,12.682679,114,21,88
273,7160.390625,1458.510132,12.249729,12.676467,190,32,162
274,6955.142822,1812.201782,10.606283,10.621025,40,5,28
275,6699.269287,1700.015381,11.903954,12.183760,202,15,157
276,6261.339844,694.080139,13.211112,13.072048,131,44,104
277,6417.656006,1177.634644,12.844760,13.389121,209,49,177
278,7153.281738,1705.065552,12.065269,12.337521,111,8,88
279,6810.837402,1680.540894,11.731677,11.985065,306,31,271
280,7095.412598,1859.911255,11.189305,11.332211,345,12,253
281,6076.502685,1867.866943,10.553812,10.595989,388,10,291
282,7076.455322,2120.000000,10.396981,10.558544,183,2,114
283,7662.709228,2230.828125,10.269138,10.381072,348,4,244
284,3630.606324,1603.099976,10.637536,10.879710,156,8,123
287,10022.859375,2276.010254,10.243424,10.340669,289,3,203
288,9742.590820,2461.366455,9.447147,9.389423,261,4,155
290,8747.962890,2756.860107,8.512243,8.272915,8,1,
291,10536.100586,2563.132812,9.788395,9.822893,288,5,206
